City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Ribeira Grande,PT,2022-11-08 03:30:21,38.5167,-28.7,62.78,71,100,1.99
90,Port Elizabeth,ZA,2022-11-08 03:30:21,-33.918,25.5701,62.31,90,0,14.97
91,Gushikawa,JP,2022-11-08 03:30:21,26.3544,127.8686,78.03,75,75,14.97
92,Baykit,RU,2022-11-08 03:30:22,61.67,96.37,16.41,91,93,3.96
93,Dingle,PH,2022-11-08 03:31:22,10.9995,122.6711,86.13,73,98,9.06
94,Ilulissat,GL,2022-11-08 03:31:23,69.2167,-51.1,-9.45,88,14,6.49
95,Arraial Do Cabo,BR,2022-11-08 03:31:23,-22.9661,-42.0278,67.17,82,100,5.44
96,Erzin,TR,2022-11-08 03:31:24,36.9559,36.2,59.81,73,100,3.85
97,Tamandare,BR,2022-11-08 03:31:24,-8.7597,-35.1047,75.07,84,7,2.46
98,Avera,US,2022-11-08 03:31:24,33.194,-82.5271,67.51,77,2,5.82
99,Cabo San Lucas,MX,2022-11-08 03:30:59,22.8909,-109.9124,73.51,75,0,8.05
100,Tarko-Sale,RU,2022-11-08 03:31:25,64.9225,77.785,19.26,92,100,12.91
101,Talnakh,RU,2022-11-08 03:31:25,69.4865,88.3972,-9.8,100,92,5.26
102,Xichang,CN,2022-11-08 03:31:26,27.8964,102.2634,64.58,59,0,2.95
103,Asau,RO,2022-11-08 03:31:26,46.4333,26.4,40.28,87,100,2.82
104,Kruisfontein,ZA,2022-11-08 03:31:27,-34.0033,24.7314,57.79,78,26,4.54
105,Provideniya,RU,2022-11-08 03:31:27,64.3833,-173.3,32.11,86,100,17.9
106,Phan Thiet,VN,2022-11-08 03:31:28,10.9333,108.1,85.15,65,100,5.5
107,Vardo,NO,2022-11-08 03:31:29,70.3705,31.1107,35.58,80,75,4.61
108,Baruun-Urt,MN,2022-11-08 03:31:29,46.6806,113.2792,41.88,26,40,16.87
109,San Carlos De Bariloche,AR,2022-11-08 03:27:57,-41.1456,-71.3082,55.15,54,75,4.61
110,Aginskoye,RU,2022-11-08 03:31:29,51.1,114.53,40.1,41,100,9.71
111,Clyde River,CA,2022-11-08 03:31:30,70.4692,-68.5914,5.23,72,0,5.75
112,Redmond,US,2022-11-08 03:30:38,47.674,-122.1215,43.09,92,100,1.01
113,Severnyy,RU,2022-11-08 03:31:30,50.677,36.5532,33.84,93,0,4.47
114,Pevek,RU,2022-11-08 03:31:31,69.7008,170.3133,0.01,98,14,3.24
115,Tigil,RU,2022-11-08 03:31:31,57.8,158.6667,20.35,91,75,7.18
116,Padang,ID,2022-11-08 03:28:22,-0.9492,100.3543,82.45,74,100,2.51
117,Kahului,US,2022-11-08 03:31:31,20.8947,-156.47,82.42,71,20,17.27
118,Iqaluit,CA,2022-11-08 03:31:32,63.7506,-68.5145,15.53,66,75,4.61
119,Carnarvon,AU,2022-11-08 03:31:32,-24.8667,113.6333,71.49,52,5,14.03
120,Chuy,UY,2022-11-08 03:27:13,-33.6971,-53.4616,57.72,86,11,7.87
121,Kokopo,PG,2022-11-08 03:31:33,-4.352,152.2633,82.81,77,97,10.33
122,Boa Vista,BR,2022-11-08 03:31:33,2.8197,-60.6733,76.98,88,40,6.91
123,Bluff,NZ,2022-11-08 03:31:33,-46.6,168.3333,65.8,75,56,14.29
124,Kodiak,US,2022-11-08 03:31:33,57.79,-152.4072,36.91,87,100,13.8
125,Kapaa,US,2022-11-08 03:31:34,22.0752,-159.319,82.38,79,40,17.27
126,Hithadhoo,MV,2022-11-08 03:31:34,-0.6,73.0833,82.65,74,25,17.31
127,Zarand,IR,2022-11-08 03:31:35,30.8127,56.564,52.65,39,2,3.56
128,Gayeri,BF,2022-11-08 03:31:35,12.6497,0.4931,72.27,19,16,6.49
129,Moron,AR,2022-11-08 03:31:36,-34.6534,-58.6198,69.69,62,0,11.27
130,Korcula,HR,2022-11-08 03:31:36,42.9622,17.1369,61.84,68,8,3.65
131,Francisco Sa,BR,2022-11-08 03:31:36,-16.4758,-43.4883,71.74,65,54,5.95
132,Kaitangata,NZ,2022-11-08 03:31:37,-46.2817,169.8464,59.45,68,98,5.1
133,Kasane,BW,2022-11-08 03:31:37,-17.8167,25.15,68.09,94,0,4.61
134,Tuktoyaktuk,CA,2022-11-08 03:31:37,69.4541,-133.0374,1.4,78,0,8.05
135,Mayumba,GA,2022-11-08 03:31:39,-3.432,10.6554,76.69,90,50,5.1
136,Urumqi,CN,2022-11-08 03:31:39,43.801,87.6005,40.15,70,4,6.71
137,Mokshan,RU,2022-11-08 03:31:40,53.4365,44.6132,35.19,90,100,7.56
138,Biak,ID,2022-11-08 03:31:40,-0.9131,122.8766,84.47,65,95,2.35
139,Ponta Do Sol,PT,2022-11-08 03:31:41,32.6667,-17.1,68.72,82,74,4.76
140,Chiang Rai,TH,2022-11-08 03:32:41,19.9167,99.9167,83.3,69,20,2.3
141,Lebu,CL,2022-11-08 03:32:41,-37.6167,-73.65,53.06,86,100,9.26
142,Mahebourg,MU,2022-11-08 03:32:42,-20.4081,57.7,77.25,73,40,8.05
143,Prince Rupert,CA,2022-11-08 03:32:42,54.3161,-130.3201,29.89,39,0,17.27
144,Teguise,ES,2022-11-08 03:32:43,29.0605,-13.564,61.02,88,3,5.75
145,Preston,GB,2022-11-08 03:29:44,53.7667,-2.7167,53.33,83,100,11.74
146,Capao Da Canoa,BR,2022-11-08 03:32:43,-29.7456,-50.0097,60.31,84,29,2.15
147,Saskylakh,RU,2022-11-08 03:32:44,71.9167,114.0833,-23.73,98,50,4.36
148,Tasiilaq,GL,2022-11-08 03:32:44,65.6145,-37.6368,28.74,94,100,2.71
149,Bethel,US,2022-11-08 03:32:44,41.3712,-73.414,55.76,46,0,6.91
150,Porto Novo,BJ,2022-11-08 03:32:44,6.4965,2.6036,80.42,90,71,2.04
151,Aklavik,CA,2022-11-08 03:32:45,68.2191,-135.0107,1.51,84,100,11.54
152,Mount Gambier,AU,2022-11-08 03:32:45,-37.8333,140.7667,79.66,40,0,1.05
153,Uvalde,US,2022-11-08 03:32:45,29.3669,-99.767,76.12,73,40,8.05
154,Luderitz,NA,2022-11-08 03:32:46,-26.6481,15.1594,61.83,84,54,6.06
155,Tura,IN,2022-11-08 03:32:46,25.5198,90.2201,76.8,58,1,1.28
156,Abu Kamal,SY,2022-11-08 03:32:46,34.4506,40.9171,62.64,51,99,9.06
157,Port Blair,IN,2022-11-08 03:30:15,11.6667,92.75,80.78,78,96,11.83
158,Annau,TM,2022-11-08 03:32:47,37.8876,58.516,38.7,75,75,2.3
159,Bluefield,US,2022-11-08 03:32:47,37.2698,-81.2223,55.96,75,0,3.44
160,Mandalgovi,MN,2022-11-08 03:31:59,45.7625,106.2708,41.14,28,99,10.09
161,Predivinsk,RU,2022-11-08 03:32:48,57.0669,93.4378,26.71,85,92,4.43
162,Remedios,CU,2022-11-08 03:32:48,22.4947,-79.5458,70.72,82,2,11.81
163,Georgetown,MY,2022-11-08 03:30:25,5.4112,100.3354,87.73,74,20,5.75
164,Sorong,ID,2022-11-08 03:32:20,-0.8833,131.25,82.62,76,100,7.14
165,Korla,CN,2022-11-08 03:32:48,41.7597,86.1469,52.25,32,14,4.7
166,Labuhan,ID,2022-11-08 03:32:49,-6.8844,112.2051,86.36,61,88,5.55
167,Mongu,ZM,2022-11-08 03:32:49,-15.2484,23.1274,68.43,82,100,2.75
168,Giddalur,IN,2022-11-08 03:32:49,15.35,78.9167,78.13,63,4,5.06
169,Bathsheba,BB,2022-11-08 03:32:50,13.2167,-59.5167,83.01,74,40,18.41
170,Belaya Gora,RU,2022-11-08 03:32:50,68.5333,146.4167,-17.72,94,14,4.63
171,Vanimo,PG,2022-11-08 03:32:51,-2.6741,141.3028,82.09,81,100,1.97
172,Belen,TR,2022-11-08 03:32:51,36.4891,36.2233,50.14,100,75,0.0
173,Geraldton,AU,2022-11-08 03:28:40,-28.7667,114.6,73.81,56,40,16.11
174,New York,US,2022-11-08 03:28:59,40.7143,-74.006,63.0,26,0,20.71
175,Vereshchagino,RU,2022-11-08 03:32:52,58.0789,54.6557,28.4,91,97,6.87
176,Aberdeen,GB,2022-11-08 03:32:52,57.1437,-2.0981,54.5,92,75,29.93
177,Vallenar,CL,2022-11-08 03:32:52,-28.5708,-70.7581,61.83,69,100,3.31
178,Salalah,OM,2022-11-08 03:32:53,17.0151,54.0924,73.49,73,0,2.3
179,Champerico,GT,2022-11-08 03:32:53,14.3,-91.9167,76.98,88,100,8.88
180,Fortuna,US,2022-11-08 03:32:54,40.5982,-124.1573,44.94,96,75,13.8
181,Namie,JP,2022-11-08 03:32:54,37.4833,141.0,65.98,48,27,1.01
182,Chapais,CA,2022-11-08 03:32:54,49.7834,-74.8492,28.18,83,100,17.25
183,Dunedin,NZ,2022-11-08 03:30:07,-45.8742,170.5036,62.01,65,77,10.25
184,Cururupu,BR,2022-11-08 03:33:55,-1.8283,-44.8683,76.03,89,89,3.98
185,Beloha,MG,2022-11-08 03:33:55,-25.1667,45.05,75.85,70,4,3.11
186,Poum,NC,2022-11-08 03:33:56,-20.2333,164.0167,77.83,81,99,18.7
187,Mnichovice,CZ,2022-11-08 03:33:56,49.936,14.7091,44.15,89,37,6.26
188,Rawson,AR,2022-11-08 03:33:56,-43.3002,-65.1023,61.09,72,0,13.8
189,Bowen,AU,2022-11-08 03:33:57,-20.0167,148.2333,80.71,57,0,19.95
190,Puksoozero,RU,2022-11-08 03:33:58,62.5903,40.6066,35.06,97,100,8.86
191,Zeya,RU,2022-11-08 03:33:58,53.75,127.2667,24.8,71,23,2.84
192,Saldanha,ZA,2022-11-08 03:33:58,-33.0117,17.9442,60.17,84,82,6.46
193,Sola,VU,2022-11-08 03:33:59,-13.8833,167.55,86.67,74,75,6.91
194,Ugoofaaru,MV,2022-11-08 03:33:59,5.6667,73.0,81.16,76,28,9.15
195,Stromness,GB,2022-11-08 03:31:20,58.965,-3.296,53.56,90,100,20.0
196,Darhan,MN,2022-11-08 03:34:00,49.4867,105.9228,36.09,46,71,4.23
197,Minot,US,2022-11-08 03:34:00,48.2325,-101.2963,28.62,74,100,21.85
198,Sambava,MG,2022-11-08 03:34:00,-14.2667,50.1667,73.17,75,100,7.49
199,Ellisras,ZA,2022-11-08 03:34:01,-23.6649,27.7443,67.5,90,100,10.33
200,Narsaq,GL,2022-11-08 03:34:01,60.9167,-46.05,30.42,73,100,7.16
201,Hvide Sande,DK,2022-11-08 03:34:02,56.0045,8.1294,56.28,89,99,23.29
202,Gibraleon,ES,2022-11-08 03:34:03,37.3763,-6.969,58.01,74,59,0.18
203,Leningradskiy,RU,2022-11-08 03:34:03,69.3833,178.4167,18.43,90,100,10.02
204,Isangel,VU,2022-11-08 03:34:03,-19.55,169.2667,84.31,74,75,6.91
205,Necochea,AR,2022-11-08 03:34:04,-38.5473,-58.7368,57.58,69,0,16.91
206,Sharkan,RU,2022-11-08 03:34:05,57.2989,53.8712,30.11,93,100,7.81
207,Ipixuna,BR,2022-11-08 03:34:05,-1.7625,-48.8043,73.29,96,100,2.24
208,Luwuk,ID,2022-11-08 03:34:05,-0.9516,122.7875,86.94,66,96,3.8
209,Guerrero Negro,MX,2022-11-08 03:34:06,27.9769,-114.0611,65.21,77,41,9.1
210,Ixtapa,MX,2022-11-08 03:34:06,20.7,-105.2,76.23,78,40,2.3
211,Vostok,RU,2022-11-08 03:34:06,46.4856,135.8833,34.23,53,70,10.36
212,Almaznyy,RU,2022-11-08 03:34:07,48.0448,40.045,29.86,89,10,6.46
213,Kita,ML,2022-11-08 03:34:07,13.0349,-9.4895,72.16,27,34,4.41
214,Wakkanai,JP,2022-11-08 03:34:07,45.4094,141.6739,44.58,87,75,6.91
215,Nyzhnya Krynka,UA,2022-11-08 03:34:08,48.1135,38.1606,32.9,83,6,6.76
216,Port Lincoln,AU,2022-11-08 03:30:26,-34.7333,135.8667,79.12,47,100,13.11
217,Joacaba,BR,2022-11-08 03:34:08,-27.1781,-51.5047,50.32,96,6,2.35
218,Aloleng,PH,2022-11-08 03:34:09,16.1307,119.7824,85.21,70,53,4.68
219,Willowmore,ZA,2022-11-08 03:34:09,-33.2926,23.4895,58.37,80,11,3.06
220,Souillac,MU,2022-11-08 03:34:10,-20.5167,57.5167,75.58,73,40,8.05
221,Cayenne,GF,2022-11-08 03:30:06,4.9333,-52.3333,75.24,94,100,0.0
222,Piney Green,US,2022-11-08 03:34:10,34.716,-77.3202,71.19,83,100,4.61
223,Namibe,AO,2022-11-08 03:34:10,-15.1961,12.1522,67.33,76,0,6.53
224,Juruti,BR,2022-11-08 03:34:11,-2.1522,-56.0922,74.01,94,100,1.16
225,Bonavista,CA,2022-11-08 03:34:11,48.6499,-53.1147,53.17,88,96,21.97
226,Klaksvik,FO,2022-11-08 03:34:12,62.2266,-6.589,50.92,95,100,38.27
227,Hurghada,EG,2022-11-08 03:34:12,27.2574,33.8129,68.04,30,0,8.05
228,Aksu,CN,2022-11-08 03:34:13,41.1231,80.2644,50.25,31,79,3.27
229,Lashio,MM,2022-11-08 03:34:14,22.9333,97.75,74.68,48,0,1.72
230,Turayf,SA,2022-11-08 03:35:14,31.6725,38.6637,52.05,82,0,9.22
231,Terra Santa,BR,2022-11-08 03:35:14,-2.1042,-56.4869,73.36,96,100,1.1
232,Wanning,CN,2022-11-08 03:35:16,18.8003,110.3967,74.44,91,100,10.78
233,Cranbrook,CA,2022-11-08 03:35:16,49.4999,-115.7688,13.84,73,100,0.0
234,Takoradi,GH,2022-11-08 03:35:16,4.8845,-1.7554,77.97,84,95,2.21
235,Jiaocheng,CN,2022-11-08 03:35:17,24.6774,116.1389,76.6,67,86,2.55
236,Baoqing,CN,2022-11-08 03:35:18,46.3317,132.2111,45.27,34,41,10.58
237,Vuktyl,RU,2022-11-08 03:35:18,63.8567,57.3094,28.0,97,100,8.28
238,Hambantota,LK,2022-11-08 03:35:18,6.1241,81.1185,77.34,100,75,5.75
239,Awjilah,LY,2022-11-08 03:35:19,29.1081,21.2869,61.11,86,0,7.47
240,Aktau,KZ,2022-11-08 03:35:19,43.65,51.2,32.58,76,16,12.75
241,Mokhsogollokh,RU,2022-11-08 03:35:19,61.4681,128.9203,-3.87,86,14,0.89
242,Roura,GF,2022-11-08 03:35:20,4.7263,-52.3274,75.11,94,100,1.14
243,Carutapera,BR,2022-11-08 03:35:20,-1.195,-46.02,76.28,91,96,6.4
244,Abong Mbang,CM,2022-11-08 03:35:21,3.9833,13.1833,66.06,99,100,1.57
245,Alyangula,AU,2022-11-08 03:35:21,-13.8483,136.4192,87.28,60,70,10.45
246,Tuatapere,NZ,2022-11-08 03:35:22,-46.1333,167.6833,66.06,54,65,6.29
247,Nishihara,JP,2022-11-08 03:35:22,26.1842,127.7558,78.08,74,100,17.27
248,Codrington,AU,2022-11-08 03:35:22,-38.2667,141.9667,76.41,58,4,11.16
249,Ayan,RU,2022-11-08 03:35:23,56.45,138.1667,17.08,51,100,15.88
250,Bosaso,SO,2022-11-08 03:35:23,11.2842,49.1816,80.29,68,0,3.15
251,Saint George,US,2022-11-08 03:35:24,37.1041,-113.5841,63.25,40,75,16.11
252,Ola,RU,2022-11-08 03:35:24,59.5833,151.2833,23.14,65,100,11.56
253,Torres,BR,2022-11-08 03:35:25,-29.3353,-49.7269,60.82,89,39,2.37
254,Umkomaas,ZA,2022-11-08 03:35:25,-30.2067,30.7978,71.6,93,100,4.29
255,Mackenzie,CA,2022-11-08 03:35:26,55.2999,-123.1698,3.42,47,100,14.97
256,Lata,PT,2022-11-08 03:35:26,40.1629,-8.3327,59.92,92,100,6.15
257,Turukhansk,RU,2022-11-08 03:35:27,65.8167,87.9833,19.29,96,100,8.9
258,Flagstaff,US,2022-11-08 03:35:27,35.1981,-111.6513,46.06,52,0,6.91
259,Acapulco,MX,2022-11-08 03:35:27,16.8634,-99.8901,80.42,89,20,4.61
260,Muros,ES,2022-11-08 03:35:28,42.7762,-9.0603,61.09,83,100,16.06
261,Hualmay,PE,2022-11-08 03:35:28,-11.0964,-77.6139,63.77,85,11,7.38
262,Chukhloma,RU,2022-11-08 03:35:29,58.7525,42.6825,32.65,95,100,8.25
263,Praia,CV,2022-11-08 03:35:29,14.9215,-23.5087,77.54,57,0,8.05
264,Sitka,US,2022-11-08 03:35:29,57.0531,-135.33,30.09,37,0,5.75
265,Monrovia,LR,2022-11-08 03:35:30,6.3005,-10.7969,77.25,86,98,2.71
266,Banes,CU,2022-11-08 03:35:30,20.9625,-75.7186,73.53,85,10,1.59
267,Puerto Baquerizo Moreno,EC,2022-11-08 03:35:30,-0.9,-89.6,65.71,76,96,7.63
268,Baturaja,ID,2022-11-08 03:35:31,-4.1333,104.1667,86.14,66,100,0.56
269,Hilo,US,2022-11-08 03:34:02,19.7297,-155.09,78.53,80,75,4.61
270,Sioux Lookout,CA,2022-11-08 03:35:31,50.1001,-91.917,28.47,93,100,3.44
